id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
132,TBK0013,Katawak,-,Pohon Tua,icon/mature_tree.svg,Not Defined,108,30,Hutan Adat Imbo Bukik Kojan,-,-,-0.3021634,101.0344596,294.7669487,3,Belum,Belum,Belum,Abandri,12/11/2020 0:00,200000,26415.58435,-,-,media/1.132.jpg,media/2.132.jpg,media/3.132.jpg,media/4.132.jpg,adopsipohonriau/132
133,TBK0017,Meranti Pirang,Shorea leprosula,Pohon Tua,icon/mature_tree.svg,Near Threatened,70,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.2997918,101.0332291,434.6770686,3,Belum,Belum,Belum,Eka Saputra,12/11/2020 0:00,200000,6806.947553,-,-,media/1.133.jpg,media/2.133.jpg,media/3.133.jpg,media/4.133.jpg,adopsipohonriau/133
134,TBK0019,Seminai,Madhuca utilis,Pohon Tua,icon/mature_tree.svg,Endangered,88,40,Hutan Adat Imbo Bukik Kojan,-,-,-0.2998107,101.0332366,430.2861337,3,Belum,Belum,Belum,Bayu,12/11/2020 0:00,200000,6931.192881,-,-,media/1.134.jpg,media/2.134.jpg,media/3.134.jpg,media/4.134.jpg,adopsipohonriau/134
135,TBK0021,Seminai,Madhuca utilis,Pohon Tua,icon/mature_tree.svg,Endangered,94,15,Hutan Adat Imbo Bukik Kojan,-,-,-0.2998279,101.0327986,420.6580439,3,Belum,Belum,Belum,Firga,12/11/2020 0:00,200000,20062.66245,-,-,media/1.135.jpg,media/2.135.jpg,media/3.135.jpg,media/4.135.jpg,adopsipohonriau/135
136,TBK0023,Seminai,Madhuca utilis,Pohon Tua,icon/mature_tree.svg,Endangered,106,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.2999957,101.0325416,352.2461653,3,Belum,Belum,Belum,Roni,12/11/2020 0:00,200000,9682.231791,-,-,media/1.136.jpg,media/2.136.jpg,media/3.136.jpg,media/4.136.jpg,adopsipohonriau/136
136,TBK0023,Seminai,Madhuca utilis,Pohon Tua,icon/mature_tree.svg,Endangered,106,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.2999957,101.0325416,352.2461653,3,Belum,Belum,Belum,Roni,12/11/2020 0:00,200000,9682.231791,-,-,media/1.136.jpg,media/2.136.jpg,media/3.136.jpg,media/4.136.jpg,adopsipohonriau/136
138,TBK0027,Bikang,-,Pohon Tua,icon/mature_tree.svg,Not Defined,103,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.2990982,101.0322886,465.4929138,3,Belum,Belum,Belum,Bayu,12/11/2020 0:00,200000,21057.04937,-,-,media/1.138.jpg,media/2.138.jpg,media/3.138.jpg,media/4.138.jpg,adopsipohonriau/138
139,TBK0029,Katawak,-,Pohon Tua,icon/mature_tree.svg,Not Defined,114,40,Hutan Adat Imbo Bukik Kojan,-,-,-0.2992025,101.0320238,445.5246877,3,Belum,Belum,Belum,Roni,4/29/2021 0:00,200000,11276.0318,-,-,media/1.139.jpg,media/2.139.jpg,media/3.139.jpg,media/4.139.jpg,adopsipohonriau/139
140,TBK0033,Lalan,Santiria laevigata,Pohon Tua,icon/mature_tree.svg,Least Concern,66,35,Hutan Adat Imbo Bukik Kojan,-,-,-0.2987293,101.032288,485.727701,3,Belum,Belum,Belum,Firga,12/11/2020 0:00,200000,8120.01509,-,-,media/1.140.jpg,media/2.140.jpg,media/3.140.jpg,media/4.140.jpg,adopsipohonriau/140
141,TBK0035,Tangur,Calophyllum soulattri,Pohon Tua,icon/mature_tree.svg,Least Concern,84,40,Hutan Adat Imbo Bukik Kojan,-,-,-0.2987072,101.0321078,448.4991207,3,Belum,Belum,Belum,Majid,12/11/2020 0:00,200000,6183.868428,-,-,media/1.141.jpg,media/2.141.jpg,media/3.141.jpg,media/4.141.jpg,adopsipohonriau/141
142,TBK0037,Meranti Bunga,Shorea parvifolia,Pohon Tua,icon/mature_tree.svg,Least Concern,89,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.2985045,101.0321748,477.02017,3,Belum,Belum,Belum,Eka Saputra,12/11/2020 0:00,200000,8042.654063,-,-,media/1.142.jpg,media/2.142.jpg,media/3.142.jpg,media/4.142.jpg,adopsipohonriau/142
143,TBK0039,Seminai,Madhuca utilis,Pohon Tua,icon/mature_tree.svg,Endangered,114,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.2989824,101.0320017,468.1233092,3,Belum,Belum,Belum,Firga,12/11/2020 0:00,200000,11053.59283,-,-,media/1.143.jpg,media/2.143.jpg,media/3.143.jpg,media/4.143.jpg,adopsipohonriau/143
144,TBK0041,Meranti Pirang,Shorea leprosula,Pohon Tua,icon/mature_tree.svg,Near Threatened,80,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.2990783,101.0322271,484.539074,3,Belum,Belum,Belum,Majid,12/11/2020 0:00,200000,14609.81837,-,-,media/1.144.jpg,media/2.144.jpg,media/3.144.jpg,media/4.144.jpg,adopsipohonriau/144
145,TBK0043,Karunduang Pogam,Dacryodes rostrata,Pohon Tua,icon/mature_tree.svg,Least Concern,100,35,Hutan Adat Imbo Bukik Kojan,-,-,-0.299074,101.0320028,462.2946939,3,Belum,Belum,Belum,Bayu,12/11/2020 0:00,200000,5646.176345,-,-,media/1.145.jpg,media/2.145.jpg,media/3.145.jpg,media/4.145.jpg,adopsipohonriau/145
